X,Y,X,Y,id,name,address,phone,province,city,lon,lat
13421674.3421186,2580510.90857045,13421674.3421186,2580510.90857045,D1B84084543D689D,屏东县警察局万峦分驻所,万峦乡万峦村褒忠路167号,08-7811320,台湾省,屏东县,120.568952,22.573412
13437840.6038496,2520446.73558325,13437840.6038496,2520446.73558325,81DC00801E152822,屏东县警察局万隆派出所,车城乡万隆村中山路63号,08-7870611,台湾省,屏东县,120.714176,22.074288
13424418.1449277,2668254.74789925,13424418.1449277,2668254.74789925,81382104EDD2093A,大埔邮局,大埔乡大埔村262号之1,(05)2521-224,台湾省,嘉义县,120.5936,23.299304
13572185.4181186,2891202.77223234,13572185.4181186,2891202.77223234,C0660480F6C1ED4D,北台湾三角,台湾省新北市,,台湾省,新北市,121.921016,25.125788
13429728.5299165,2586901.576063,13429728.5299165,2586901.576063,81A821015D683740,屏东县警察局万顺派出所,泰武乡万安村万安巷2号,08-7830121,台湾省,屏东县,120.641304,22.626412
13521763.0321248,2891885.42633601,13521763.0321248,2891885.42633601,40CA2081617B8F9F,北台湾科学技术学院,北投区学园路2号,02-28927154,台湾省,台北市,121.468064,25.13134
13414772.5336895,2609888.10008225,13414772.5336895,2609888.10008225,11844587926D37FC,屏东县警察局三和派出所,里港乡土库村土库路74号,08-7731145,台湾省,屏东县,120.506952,22.816878
13518676.365284,2872418.57727056,13518676.365284,2872418.57727056,50406181921D5BE7,元复医院,土中央路二段320号,02-22661886,台湾省,新北市,121.440336,24.972918
13431008.2587827,2597690.75577373,13431008.2587827,2597690.75577373,40DC4505DFDCE830,屏东县警察局三地门分驻所,三地门乡三地村中正路行政巷101号,08-7991154,台湾省,屏东县,120.6528,22.715844
13407099.5038281,2717960.40862698,13407099.5038281,2717960.40862698,01044582DB24B2D8,天生大饭店,虎尾镇民生路11号,05-6322126,台湾省,云林县,120.438024,23.70877
13426017.5833714,2596043.54884371,13426017.5833714,2596043.54884371,0074040331A6CACD,屏东县警察局三民派出所,内埔乡三和村三和巷15号,08-7992571,台湾省,屏东县,120.607968,22.702194
13444981.971823,2801486.63917566,13444981.971823,2801486.63917566,80D06086BD6B4A02,胜兴村停车场,台湾省苗栗县,,台湾省,苗栗县,120.778328,24.39395
13422249.6412471,2559708.32229992,13422249.6412471,2559708.32229992,102E458297FA8DAB,屏东县警察局东海派出所,枋寮乡东海村东林路717号,08-8712920,台湾省,屏东县,120.57412,22.400748
13409735.54937,2567216.30444112,13409735.54937,2567216.30444112,91E824075563006F,屏东县警察局东港分局,东港镇船头里沿海路1号,08-8322045,台湾省,屏东县,120.461704,22.46309
13409735.54937,2567216.30444112,13409735.54937,2567216.30444112,C1940405A8844FD4,屏东县警察局东港派出所,东港镇船头里沿海路1号,08-8338183,台湾省,屏东县,120.461704,22.46309
13408183.3103904,2567645.86758478,13408183.3103904,2567645.86758478,900E45830578316E,屏东县警察局东滨派出所,东港镇朝安里延平路112号,08-8322603,台湾省,屏东县,120.44776,22.466656
13418273.3090359,2577648.44584932,13418273.3090359,2577648.44584932,817A25032A4110EA,屏东县警察局中山路派出所,潮州镇新生里新生路81号,08-7882347,台湾省,屏东县,120.5384,22.549666
13441639.7154314,2536105.29247475,13441639.7154314,2536105.29247475,105844054128869F,屏东县警察局丹路派出所,狮子乡丹路村巴士巷13号,08-8771403,台湾省,屏东县,120.748304,22.20458
13534095.4505928,2744485.78919678,13534095.4505928,2744485.78919678,800C61860A4595AE,戏海民宿,吉安乡光华村光华,03-8420484,台湾省,花莲县,121.578848,23.926758
13412767.0017433,2599808.83468036,13412767.0017433,2599808.83468036,10BC6087425D306E,屏东县警察局九如分驻所,九如乡九清村九如路二段177号,08-7392424,台湾省,屏东县,120.488936,22.733394
13456489.7355032,2527579.3339464,13456489.7355032,2527579.3339464,111A258011400D0A,屏东县警察局九棚派出所,满州乡港仔村港仔路60号,08-8810200,台湾省,屏东县,120.881704,22.133652
13440474.8682797,2514767.45610584,13440474.8682797,2514767.45610584,800E45012B7662A6,屏东县警察局仁寿派出所,恒春镇仁寿里仁寿路117号,08-8893247,台湾省,屏东县,120.73784,22.027002
13429285.0330652,2590255.37066157,13429285.0330652,2590255.37066157,40B201005C8B40E0,屏东县警察局佳义派出所,玛家乡佳义村泰平巷83-1号,08-7990163,台湾省,屏东县,120.63732,22.654218
13424782.3823016,2580454.24761535,13424782.3823016,2580454.24761535,507E2485D6C94009,屏东县警察局佳佐派出所,万峦乡佳和村佳兴路30号,08-7831114,台湾省,屏东县,120.596872,22.572942
13563878.3124376,2826209.43970751,13563878.3124376,2826209.43970751,0022400041707DD6,建生医院,苏澳镇中山路218号,03-9962246,台湾省,宜兰县,121.846392,24.59605
13419520.9778887,2561396.72827667,13419520.9778887,2561396.72827667,C1A40003512A515F,屏东县警察局佳冬分驻所,佳冬乡六根村佳和路89号,08-8662089,台湾省,屏东县,120.549608,22.41477
13491478.7872934,2883400.43819152,13491478.7872934,2883400.43819152,8184410282774D66,敏盛综合医院大园分院,大园乡华中街2号,03-3867521,台湾省,桃园县,121.196016,25.062314
13392216.533187,2700492.28849123,13392216.533187,2700492.28849123,C0EC6101D02C36EF,振兴戏院,北港镇中山路42号,05-7823798,台湾省,云林县,120.304328,23.565016
13392320.7282303,2585062.49971785,13392320.7282303,2585062.49971785,50984003561203D8,戏狮甲广济宫停车场,前镇区中山二路217号,,台湾省,高雄市,120.305264,22.611162
13438501.396347,2603114.54647017,13438501.396347,2603114.54647017,806A0505809A81AE,屏东县警察局佳暮派出所,雾台乡佳暮村流川巷10号,08-7902467,台湾省,屏东县,120.720112,22.76078
13493475.4136803,2860395.30201631,13493475.4136803,2860395.30201631,413A0006BD557D96,敏盛综合医院龙潭分院,龙潭乡乌林村中丰路168号,03-4794151,台湾省,桃园县,121.213952,24.87497
13434046.8356034,2574836.85059207,13434046.8356034,2574836.85059207,50C2018639473BAA,屏东县警察局信义派出所,来义乡来义村来义路20号,08-7850495,台湾省,屏东县,120.680096,22.526338
13418997.331004,2577726.79357093,13418997.331004,2577726.79357093,107A6083FA70BF90,屏东县警察局光华派出所,潮州镇光华里中山路12号,08-7884265,台湾省,屏东县,120.544904,22.550316
13412046.5419989,2587983.410029,13412046.5419989,2587983.410029,512204017C5E4612,屏东县警察局公馆派出所,屏东市龙华里龙华路157号,08-7527484,台湾省,屏东县,120.482464,22.635382
13435902.7541539,2609139.58553362,13435902.7541539,2609139.58553362,50DC2087358CDFA2,屏东县警察局兴化派出所,三地门乡大社村胜利巷149号,08-7996068,台湾省,屏东县,120.696768,22.81068
13409461.2581447,2570479.3821918,13409461.2581447,2570479.3821918,105404858F4BE94E,屏东县警察局兴龙派出所,新园乡兴龙村南兴路278号,08-8322433,台湾省,屏东县,120.45924,22.490176
13421755.3827079,2585258.81893214,13421755.3827079,2585258.81893214,519261063D4A74F3,屏东县警察局内埔分局,内埔乡内埔村中兴路158号,08-7796801,台湾省,屏东县,120.56968,22.61279
13421755.3827079,2585258.81893214,13421755.3827079,2585258.81893214,906E000470944F4E,屏东县警察局内埔派出所,内埔乡内埔村中兴路158号,08-7792801,台湾省,屏东县,120.56968,22.61279
13453039.7218446,2537673.4853256,13453039.7218446,2537673.4853256,C06E2401D9414ECA,屏东县警察局内文派出所,狮子乡内文村1巷30号,08-8700009,台湾省,屏东县,120.850712,22.217622
13430152.4345375,2548118.76078044,13430152.4345375,2548118.76078044,81EC448583BDB995,屏东县警察局内狮派出所,狮子乡内狮村内狮巷60号,08-8720004,台湾省,屏东县,120.645112,22.30446
13430047.3489382,2593743.52619115,13430047.3489382,2593743.52619115,D1044087ECEF5904,屏东县警察局凉山派出所,玛家乡凉山村凉山巷22号,08-7991750,台湾省,屏东县,120.644168,22.683132
13427202.9133094,2551422.1639553,13427202.9133094,2551422.1639553,C1EE21010CBF3B76,屏东县警察局加禄派出所,枋山乡加禄村加禄路102号,08-8720002,台湾省,屏东县,120.618616,22.331912
13429626.115985,2563837.76480941,13429626.115985,2563837.76480941,00AE44021BCFCB87,屏东县警察局南和派出所,来义乡南和村南和路288号,08-8791415,台湾省,屏东县,120.640384,22.43504
13415039.7004674,2570487.81598947,13415039.7004674,2570487.81598947,00C221837E29E2D0,屏东县警察局南州分驻所,南州乡仁里村三民路52号,08-8642047,台湾省,屏东县,120.509352,22.490246
13441641.4965433,2600820.29815046,13441641.4965433,2600820.29815046,80E82104AC580AD6,屏东县警察局去露派出所,雾台乡去露村前山巷1号,08-7902300,台湾省,屏东县,120.74832,22.741774
13393425.9081349,2602626.84411765,13393425.9081349,2602626.84411765,00CC4087E1526721,糖业博物馆,桥头区桥南糖厂路24号,07-6113691,台湾省,高雄市,120.315192,22.75674
13430483.7213421,2604371.53301032,13430483.7213421,2604371.53301032,C19E410203B6FE9D,屏东县警察局口社派出所,三地门乡口社村信义巷1号,08-7957078,台湾省,屏东县,120.648088,22.771192
13428349.0587866,2554777.73551077,13428349.0587866,2554777.73551077,516C6107EC78DF1B,屏东县警察局古华派出所,春日乡古华村古华路2巷18号,08-8786940,台湾省,屏东县,120.628912,22.359792
13434318.4551609,2539523.47178773,13434318.4551609,2539523.47178773,D10264015C14FBF1,屏东县警察局和平派出所,狮子乡狮子村狮子巷52号,08-8761428,台湾省,屏东县,120.682536,22.233006
13421478.4198148,2577146.54704578,13421478.4198148,2577146.54704578,8184440456BC2998,屏东县警察局四林派出所,潮州镇泗林里明伦路15号,08-7882767,台湾省,屏东县,120.567192,22.545502
13447374.0050411,2504878.22169698,13447374.0050411,2504878.22169698,D0BC21843D8B5F78,屏东县警察局垦丁派出所,恒春镇垦丁里垦丁路113号,08-8861039,台湾省,屏东县,120.799816,21.944626
13432238.116517,2555798.02013685,13432238.116517,2555798.02013685,91142585AD2B6019,屏东县警察局士文派出所,春日乡士文村士文路64号,08-8790020,台湾省,屏东县,120.663848,22.368268
13410136.2995369,2590079.01599118,13410136.2995369,2590079.01599118,903A250188DE11E8,屏东县警察局大同派出所,屏东市清进巷208号,08-7555413,台湾省,屏东县,120.465304,22.652756
13462543.7346905,2740852.62731164,13462543.7346905,2740852.62731164,91EC2405EDFE2053,富一大饭店,鱼池乡鱼池村鱼池街409号,049-2895767,台湾省,南投县,120.936088,23.896922
13413350.3158751,2605359.61201629,13413350.3158751,2605359.61201629,81F8200047142C2D,屏东县警察局大平派出所,里港乡大平村中山路103号,08-7752034,台湾省,屏东县,120.494176,22.779376
13442418.061311,2602651.47032625,13442418.061311,2602651.47032625,41660481DD362348,屏东县警察局大武派出所,雾台乡大武村小山巷1-1号,08-7902346,台湾省,屏东县,120.755296,22.756944
13412002.9047585,2566489.71017427,13412002.9047585,2566489.71017427,912C4582ED0E8D55,屏东县警察局大鹏湾派出所,东港镇大潭里大潭路122号,08-8338262,台湾省,屏东县,120.482072,22.457058
13419364.2400457,2590385.40629321,13419364.2400457,2590385.40629321,41384585AB092494,屏东县警察局好茶派出所,麟洛乡麟安巷13号,08-7211832,台湾省,屏东县,120.5482,22.655296
13436912.6445744,2517993.48053036,13436912.6445744,2517993.48053036,805A658523D4E293,屏东县警察局射寮派出所,车城乡射寮村射寮路168号,08-8821785,台湾省,屏东县,120.70584,22.053864
13412595.1244495,2592331.72025373,13412595.1244495,2592331.72025373,D05E200067F117D5,屏东县警察局屏东分局,屏东市武庙里永福路19号,08-7322075,台湾省,屏东县,120.487392,22.67143
13488251.4126164,2761750.28554532,13488251.4126164,2761750.28554532,C1EC2083C1773342,淳境景观休闲山庄,仁爱乡大同村仁和路221-2号,049-2802058,台湾省,南投县,121.167024,24.068442
13412773.2356348,2592669.760919,13412773.2356348,2592669.760919,D1D20084018EF85C,屏东县警察局,屏东市中正路119号,08-7322156,台湾省,屏东县,120.488992,22.674232
13415256.9961134,2573274.09437942,13415256.9961134,2573274.09437942,90EE6001CB0780B8,屏东县警察局崁顶分驻所,崁顶乡崁顶村中正路117号,08-8631404,台湾省,屏东县,120.511304,22.51337
13411842.6046918,2594103.79608929,13411842.6046918,2594103.79608929,41DE20030A0775FB,屏东县警察局崇兰派出所,屏东市迪化街48号,08-7656206,台湾省,屏东县,120.480632,22.686118
13434798.4648052,2592840.35222794,13434798.4648052,2592840.35222794,D1740584A3479DEF,屏东县警察局崑山派出所,玛家乡玛家村玛家1号,08-7992961,台湾省,屏东县,120.686848,22.675646
13424596.256113,2558050.90726596,13424596.256113,2558050.90726596,41F8418356C5695D,屏东县警察局建兴派出所,枋寮乡地利村建兴路262号,08-8712962,台湾省,屏东县,120.5952,22.386982
13412697.5383811,2591373.13142524,13412697.5383811,2591373.13142524,50F620839225546E,屏东县警察局建国派出所,屏东市一心里复兴路243号,08-7522978,台湾省,屏东县,120.488312,22.663484
13441301.3041794,2511883.98369715,13441301.3041794,2511883.98369715,D1FE0481355CADF1,屏东县警察局建民派出所,恒春镇城南里中正路60号,08-8892587,台湾省,屏东县,120.745264,22.002988
13428560.1205412,2563041.9501527,13428560.1205412,2563041.9501527,C1800101BDCA1B7E,屏东县警察局归崇派出所,春日乡归崇村玉光路6号,08-8791104,台湾省,屏东县,120.630808,22.428432
13520230.3853755,2881155.40771345,13520230.3853755,2881155.40771345,0070248042740228,新庄中港邮局,新庄区复兴路二段22号,(02)2992-2786,台湾省,新北市,121.454296,25.044044
13415105.6016059,2591196.0410498,13415105.6016059,2591196.0410498,417061049667A9B1,屏东县警察局归来派出所,屏东市湖南里民生东路94号,08-7224416,台湾省,屏东县,120.509944,22.662016
13516412.5721193,2879313.1843208,13516412.5721193,2879313.1843208,11CC4586A5CCE182,新庄丹凤邮局,新庄区明志路15号,(02)2908-8163,台湾省,新北市,121.42,25.02905
13419435.4845198,2595187.06612608,13419435.4845198,2595187.06612608,818A248400709BBB,屏东县警察局德协派出所,长治乡德协村中兴路635号,08-7621604,台湾省,屏东县,120.54884,22.695096
13509235.5819089,2688298.04337138,13509235.5819089,2688298.04337138,40982580EFEBB0EB,鹤山茶园渡假村,瑞穗乡舞鹤村76-5号,03-8872979,台湾省,花莲县,121.355528,23.46457
13436530.5960819,2604277.36435018,13436530.5960819,2604277.36435018,41F20485F44E75B2,屏东县警察局德文派出所,三地门乡德文村德文巷3号,08-7996067,台湾省,屏东县,120.702408,22.770412
13432340.5304485,2582291.36655864,13432340.5304485,2582291.36655864,C1FC6503EAAB4810,屏东县警察局忠孝派出所,泰武乡泰武村良武巷101号,08-7920001,台湾省,屏东县,120.664768,22.58818
13441301.3041794,2511883.98369715,13441301.3041794,2511883.98369715,811E6082C175F6CC,屏东县警察局恒春分局,恒春镇城南里中正路60号,08-8892075,台湾省,屏东县,120.745264,22.002988
13426645.4252995,2598629.19413465,13426645.4252995,2598629.19413465,81A44583A5E11825,屏东县警察局振兴派出所,盐埔乡振兴村中正路6号,08-7020234,台湾省,屏东县,120.613608,22.72362
